# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# Baseline: O(e^2) non-log + O(e^2) log summed into col 2;
# O(e^3) in col 3. Loader sums col 2 + col 3.
# T (MeV)           d^2P_int/dT^2 (e^2+e^3) [MeV^2] p^(2)   p^(3)
4.000000E+01        -3.056494E+01        +2.721800E+00
3.996407E+01        -3.050995E+01        +2.716901E+00
3.992817E+01        -3.045495E+01        +2.712001E+00
3.989230E+01        -3.040096E+01        +2.707102E+00
3.985646E+01        -3.034596E+01        +2.702202E+00
3.982066E+01        -3.029097E+01        +2.697402E+00
3.978489E+01        -3.023697E+01        +2.692603E+00
3.974915E+01        -3.018298E+01        +2.687704E+00
3.971344E+01        -3.012798E+01        +2.682904E+00
3.967777E+01        -3.007399E+01        +2.678105E+00
3.964212E+01        -3.001999E+01        +2.673304E+00
3.960651E+01        -2.996599E+01        +2.668505E+00
3.957093E+01        -2.991300E+01        +2.663705E+00
3.953539E+01        -2.985902E+01        +2.658907E+00
3.949987E+01        -2.980501E+01        +2.654107E+00
3.946439E+01        -2.975202E+01        +2.649308E+00
3.942894E+01        -2.969803E+01        +2.644608E+00
3.939352E+01        -2.964503E+01        +2.639809E+00
3.935813E+01        -2.959204E+01        +2.635109E+00
3.932277E+01        -2.953904E+01        +2.630409E+00
3.928745E+01        -2.948505E+01        +2.625610E+00
3.925215E+01        -2.943304E+01        +2.620909E+00
3.921689E+01        -2.938005E+01        +2.616210E+00
3.918166E+01        -2.932705E+01        +2.611510E+00
3.914647E+01        -2.927407E+01        +2.606812E+00
3.911130E+01        -2.922207E+01        +2.602112E+00
3.907617E+01        -2.916908E+01        +2.597512E+00
3.904106E+01        -2.911707E+01        +2.592812E+00
3.900599E+01        -2.906408E+01        +2.588212E+00
3.897095E+01        -2.901208E+01        +2.583513E+00
3.893595E+01        -2.896010E+01        +2.578914E+00
3.890097E+01        -2.890810E+01        +2.574215E+00
3.886602E+01        -2.885610E+01        +2.569614E+00
3.883111E+01        -2.880411E+01        +2.565015E+00
3.879623E+01        -2.875312E+01        +2.560416E+00
3.876138E+01        -2.870113E+01        +2.555817E+00
3.872656E+01        -2.864913E+01        +2.551217E+00
3.869177E+01        -2.859813E+01        +2.546617E+00
3.865701E+01        -2.854713E+01        +2.542018E+00
3.862228E+01        -2.849514E+01        +2.537517E+00
3.858759E+01        -2.844414E+01        +2.532919E+00
3.855292E+01        -2.839314E+01        +2.528418E+00
3.851829E+01        -2.834215E+01        +2.523819E+00
3.848369E+01        -2.829116E+01        +2.519319E+00
3.844912E+01        -2.824016E+01        +2.514820E+00
3.841458E+01        -2.819016E+01        +2.510320E+00
3.838007E+01        -2.813917E+01        +2.505721E+00
3.834559E+01        -2.808817E+01        +2.501221E+00
3.831115E+01        -2.803818E+01        +2.496821E+00
3.827673E+01        -2.798818E+01        +2.492322E+00
3.824235E+01        -2.793720E+01        +2.487823E+00
3.820799E+01        -2.788719E+01        +2.483322E+00
3.817367E+01        -2.783720E+01        +2.478923E+00
3.813938E+01        -2.778720E+01        +2.474424E+00
3.810512E+01        -2.773721E+01        +2.470024E+00
3.807089E+01        -2.768722E+01        +2.465525E+00
3.803669E+01        -2.763822E+01        +2.461125E+00
3.800252E+01        -2.758822E+01        +2.456725E+00
3.796838E+01        -2.753823E+01        +2.452325E+00
3.793427E+01        -2.748922E+01        +2.447926E+00
3.790020E+01        -2.744024E+01        +2.443527E+00
3.786615E+01        -2.739024E+01        +2.439127E+00
3.783213E+01        -2.734124E+01        +2.434727E+00
3.779815E+01        -2.729225E+01        +2.430328E+00
3.776419E+01        -2.724325E+01        +2.426027E+00
3.773027E+01        -2.719426E+01        +2.421629E+00
3.769638E+01        -2.714527E+01        +2.417329E+00
3.766251E+01        -2.709626E+01        +2.412929E+00
3.762868E+01        -2.704826E+01        +2.408629E+00
3.759488E+01        -2.699928E+01        +2.404330E+00
3.756111E+01        -2.695128E+01        +2.399931E+00
3.752736E+01        -2.690228E+01        +2.395630E+00
3.749365E+01        -2.685428E+01        +2.391331E+00
3.745997E+01        -2.680629E+01        +2.387031E+00
3.742632E+01        -2.675829E+01        +2.382732E+00
3.739270E+01        -2.671030E+01        +2.378532E+00
3.735911E+01        -2.666230E+01        +2.374233E+00
3.732555E+01        -2.661431E+01        +2.369933E+00
3.729202E+01        -2.656631E+01        +2.365733E+00
3.725852E+01        -2.651832E+01        +2.361434E+00
3.722505E+01        -2.647132E+01        +2.357234E+00
3.719161E+01        -2.642333E+01        +2.352935E+00
3.715820E+01        -2.637632E+01        +2.348735E+00
3.712482E+01        -2.632834E+01        +2.344535E+00
3.709147E+01        -2.628133E+01        +2.340335E+00
3.705815E+01        -2.623434E+01        +2.336136E+00
3.702486E+01        -2.618734E+01        +2.331936E+00
3.699160E+01        -2.614035E+01        +2.327737E+00
3.695837E+01        -2.609335E+01        +2.323537E+00
3.692517E+01        -2.604636E+01        +2.319437E+00
3.689200E+01        -2.599936E+01        +2.315238E+00
3.685886E+01        -2.595237E+01        +2.311038E+00
3.682575E+01        -2.590637E+01        +2.306938E+00
3.679267E+01        -2.585938E+01        +2.302740E+00
3.675961E+01        -2.581336E+01        +2.298638E+00
3.672659E+01        -2.576638E+01        +2.294539E+00
3.669360E+01        -2.572038E+01        +2.290439E+00
3.666064E+01        -2.567439E+01        +2.286241E+00
3.662771E+01        -2.562840E+01        +2.282141E+00
3.659480E+01        -2.558239E+01        +2.278040E+00
3.656193E+01        -2.553640E+01        +2.273941E+00
3.652908E+01        -2.549040E+01        +2.269841E+00
3.649627E+01        -2.544441E+01        +2.265841E+00
3.646348E+01        -2.539841E+01        +2.261742E+00
3.643073E+01        -2.535341E+01        +2.257643E+00
3.639800E+01        -2.530742E+01        +2.253642E+00
3.636531E+01        -2.526242E+01        +2.249544E+00
3.633264E+01        -2.521643E+01        +2.245543E+00
3.630000E+01        -2.517142E+01        +2.241543E+00
3.626739E+01        -2.512643E+01        +2.237445E+00
3.623481E+01        -2.508143E+01        +2.233444E+00
3.620226E+01        -2.503644E+01        +2.229444E+00
3.616974E+01        -2.499144E+01        +2.225445E+00
3.613725E+01        -2.494645E+01        +2.221445E+00
3.610479E+01        -2.490146E+01        +2.217446E+00
3.607235E+01        -2.485645E+01        +2.213446E+00
3.603995E+01        -2.481245E+01        +2.209546E+00
3.600757E+01        -2.476746E+01        +2.205547E+00
3.597523E+01        -2.472346E+01        +2.201548E+00
3.594291E+01        -2.467847E+01        +2.197647E+00
3.591062E+01        -2.463446E+01        +2.193648E+00
3.587836E+01        -2.459047E+01        +2.189747E+00
3.584613E+01        -2.454647E+01        +2.185847E+00
3.581393E+01        -2.450149E+01        +2.181849E+00
3.578176E+01        -2.445749E+01        +2.177949E+00
3.574961E+01        -2.441348E+01        +2.174048E+00
3.571750E+01        -2.437048E+01        +2.170149E+00
3.568541E+01        -2.432649E+01        +2.166249E+00
3.565336E+01        -2.428250E+01        +2.162350E+00
3.562133E+01        -2.423949E+01        +2.158450E+00
3.558933E+01        -2.419551E+01        +2.154551E+00
3.555736E+01        -2.415250E+01        +2.150750E+00
3.552542E+01        -2.410852E+01        +2.146852E+00
3.549351E+01        -2.406552E+01        +2.143051E+00
3.546162E+01        -2.402251E+01        +2.139152E+00
3.542977E+01        -2.397952E+01        +2.135352E+00
3.539794E+01        -2.393652E+01        +2.131453E+00
3.536614E+01        -2.389254E+01        +2.127652E+00
3.533437E+01        -2.385052E+01        +2.123852E+00
3.530263E+01        -2.380754E+01        +2.120053E+00
3.527092E+01        -2.376455E+01        +2.116254E+00
3.523923E+01        -2.372154E+01        +2.112453E+00
3.520758E+01        -2.367954E+01        +2.108655E+00
3.517595E+01        -2.363656E+01        +2.104855E+00
3.514435E+01        -2.359454E+01        +2.101055E+00
3.511278E+01        -2.355156E+01        +2.097255E+00
3.508124E+01        -2.350956E+01        +2.093555E+00
3.504972E+01        -2.346755E+01        +2.089756E+00
3.501824E+01        -2.342556E+01        +2.085957E+00
3.498678E+01        -2.338357E+01        +2.082255E+00
3.495535E+01        -2.334157E+01        +2.078556E+00
3.492395E+01        -2.329957E+01        +2.074758E+00
3.489258E+01        -2.325758E+01        +2.071057E+00
3.486123E+01        -2.321558E+01        +2.067356E+00
3.482991E+01        -2.317358E+01        +2.063656E+00
3.479863E+01        -2.313258E+01        +2.059958E+00
3.476737E+01        -2.309060E+01        +2.056258E+00
3.473613E+01        -2.304958E+01        +2.052558E+00
3.470493E+01        -2.300760E+01        +2.048858E+00
3.467375E+01        -2.296658E+01        +2.045158E+00
3.464261E+01        -2.292560E+01        +2.041460E+00
3.461149E+01        -2.288460E+01        +2.037858E+00
3.458039E+01        -2.284261E+01        +2.034159E+00
3.454933E+01        -2.280161E+01        +2.030559E+00
3.451829E+01        -2.276061E+01        +2.026860E+00
3.448729E+01        -2.272060E+01        +2.023260E+00
3.445630E+01        -2.267961E+01        +2.019561E+00
3.442535E+01        -2.263862E+01        +2.015960E+00
3.439443E+01        -2.259763E+01        +2.012361E+00
3.436353E+01        -2.255761E+01        +2.008761E+00
3.433266E+01        -2.251663E+01        +2.005161E+00
3.430182E+01        -2.247662E+01        +2.001562E+00
3.427101E+01        -2.243565E+01        +1.997962E+00
3.424022E+01        -2.239563E+01        +1.994362E+00
3.420946E+01        -2.235563E+01        +1.990763E+00
3.417873E+01        -2.231564E+01        +1.987163E+00
3.414803E+01        -2.227565E+01        +1.983662E+00
3.411735E+01        -2.223564E+01        +1.980064E+00
3.408670E+01        -2.219565E+01        +1.976464E+00
3.405608E+01        -2.215565E+01        +1.972962E+00
3.402549E+01        -2.211566E+01        +1.969365E+00
3.399492E+01        -2.207566E+01        +1.965863E+00
3.396438E+01        -2.203664E+01        +1.962363E+00
3.393387E+01        -2.199666E+01        +1.958765E+00
3.390339E+01        -2.195765E+01        +1.955264E+00
3.387293E+01        -2.191767E+01        +1.951764E+00
3.384251E+01        -2.187867E+01        +1.948265E+00
3.381210E+01        -2.183868E+01        +1.944765E+00
3.378173E+01        -2.179967E+01        +1.941266E+00
3.375138E+01        -2.176067E+01        +1.937766E+00
3.372106E+01        -2.172167E+01        +1.934364E+00
3.369077E+01        -2.168268E+01        +1.930866E+00
3.366051E+01        -2.164369E+01        +1.927367E+00
3.363027E+01        -2.160469E+01        +1.923966E+00
3.360006E+01        -2.156569E+01        +1.920468E+00
3.356988E+01        -2.152768E+01        +1.916969E+00
3.353972E+01        -2.148870E+01        +1.913567E+00
3.350959E+01        -2.144971E+01        +1.910167E+00
3.347949E+01        -2.141169E+01        +1.906669E+00
3.344941E+01        -2.137271E+01        +1.903267E+00
3.341936E+01        -2.133469E+01        +1.899867E+00
3.338934E+01        -2.129670E+01        +1.896468E+00
3.335935E+01        -2.125871E+01        +1.893069E+00
3.332938E+01        -2.121973E+01        +1.889669E+00
3.329944E+01        -2.118171E+01        +1.886269E+00
3.326953E+01        -2.114372E+01        +1.882870E+00
3.323964E+01        -2.110572E+01        +1.879470E+00
3.320978E+01        -2.106772E+01        +1.876070E+00
3.317995E+01        -2.102973E+01        +1.872769E+00
3.315014E+01        -2.099271E+01        +1.869371E+00
3.312036E+01        -2.095473E+01        +1.865971E+00
3.309061E+01        -2.091674E+01        +1.862669E+00
3.306089E+01        -2.087973E+01        +1.859370E+00
3.303119E+01        -2.084175E+01        +1.855973E+00
3.300151E+01        -2.080472E+01        +1.852670E+00
3.297187E+01        -2.076676E+01        +1.849371E+00
3.294225E+01        -2.072974E+01        +1.845973E+00
3.291266E+01        -2.069274E+01        +1.842672E+00
3.288309E+01        -2.065574E+01        +1.839372E+00
3.285355E+01        -2.061875E+01        +1.836072E+00
3.282404E+01        -2.058175E+01        +1.832773E+00
3.279455E+01        -2.054475E+01        +1.829473E+00
3.276509E+01        -2.050776E+01        +1.826173E+00
3.273566E+01        -2.047076E+01        +1.822971E+00
3.270625E+01        -2.043376E+01        +1.819674E+00
3.267687E+01        -2.039677E+01        +1.816374E+00
3.264752E+01        -2.036075E+01        +1.813173E+00
3.261819E+01        -2.032378E+01        +1.809875E+00
3.258889E+01        -2.028776E+01        +1.806575E+00
3.255961E+01        -2.025078E+01        +1.803373E+00
3.253036E+01        -2.021476E+01        +1.800173E+00
3.250114E+01        -2.017877E+01        +1.796876E+00
3.247195E+01        -2.014180E+01        +1.793675E+00
3.244278E+01        -2.010578E+01        +1.790475E+00
3.241363E+01        -2.006978E+01        +1.787275E+00
3.238451E+01        -2.003378E+01        +1.783977E+00
3.235542E+01        -1.999778E+01        +1.780873E+00
3.232636E+01        -1.996179E+01        +1.777579E+00
3.229732E+01        -1.992580E+01        +1.774474E+00
3.226830E+01        -1.989077E+01        +1.771276E+00
3.223932E+01        -1.985480E+01        +1.768077E+00
3.221036E+01        -1.981881E+01        +1.764878E+00
3.218142E+01        -1.978281E+01        +1.761677E+00
3.215251E+01        -1.974779E+01        +1.758575E+00
3.212363E+01        -1.971279E+01        +1.755378E+00
3.209477E+01        -1.967682E+01        +1.752276E+00
3.206594E+01        -1.964180E+01        +1.749079E+00
3.203713E+01        -1.960582E+01        +1.745976E+00
3.200836E+01        -1.957081E+01        +1.742877E+00
3.197960E+01        -1.953581E+01        +1.739679E+00
3.195087E+01        -1.950081E+01        +1.736577E+00
3.192217E+01        -1.946581E+01        +1.733478E+00
3.189350E+01        -1.943082E+01        +1.730379E+00
3.186485E+01        -1.939583E+01        +1.727181E+00
3.183622E+01        -1.936083E+01        +1.724176E+00
3.180762E+01        -1.932680E+01        +1.720981E+00
3.177905E+01        -1.929184E+01        +1.717977E+00
3.175050E+01        -1.925684E+01        +1.714880E+00
3.172198E+01        -1.922282E+01        +1.711780E+00
3.169348E+01        -1.918784E+01        +1.708680E+00
3.166501E+01        -1.915382E+01        +1.705678E+00
3.163657E+01        -1.911886E+01        +1.702581E+00
3.160815E+01        -1.908483E+01        +1.699481E+00
3.157975E+01        -1.904985E+01        +1.696479E+00
3.155138E+01        -1.901583E+01        +1.693381E+00
3.152304E+01        -1.898184E+01        +1.690379E+00
3.149472E+01        -1.894784E+01        +1.687379E+00
3.146643E+01        -1.891384E+01        +1.684283E+00
3.143816E+01        -1.887984E+01        +1.681280E+00
3.140992E+01        -1.884585E+01        +1.678280E+00
3.138171E+01        -1.881186E+01        +1.675281E+00
3.135352E+01        -1.877786E+01        +1.672282E+00
3.132535E+01        -1.874483E+01        +1.669281E+00
3.129721E+01        -1.871086E+01        +1.666282E+00
3.126910E+01        -1.867785E+01        +1.663283E+00
3.124101E+01        -1.864388E+01        +1.660283E+00
3.121294E+01        -1.861085E+01        +1.657282E+00
3.118490E+01        -1.857688E+01        +1.654283E+00
3.115689E+01        -1.854386E+01        +1.651381E+00
3.112890E+01        -1.850989E+01        +1.648384E+00
3.110094E+01        -1.847686E+01        +1.645384E+00
3.107300E+01        -1.844387E+01        +1.642482E+00
3.104509E+01        -1.841087E+01        +1.639485E+00
3.101720E+01        -1.837787E+01        +1.636582E+00
3.098933E+01        -1.834487E+01        +1.633585E+00
3.096150E+01        -1.831188E+01        +1.630683E+00
3.093368E+01        -1.827888E+01        +1.627783E+00
3.090589E+01        -1.824588E+01        +1.624786E+00
3.087813E+01        -1.821289E+01        +1.621883E+00
3.085039E+01        -1.818086E+01        +1.618983E+00
3.082268E+01        -1.814790E+01        +1.616084E+00
3.079499E+01        -1.811490E+01        +1.613184E+00
3.076733E+01        -1.808288E+01        +1.610285E+00
3.073969E+01        -1.804991E+01        +1.607385E+00
3.071207E+01        -1.801787E+01        +1.604485E+00
3.068448E+01        -1.798588E+01        +1.601682E+00
3.065692E+01        -1.795291E+01        +1.598786E+00
3.062938E+01        -1.792089E+01        +1.595886E+00
3.060187E+01        -1.788890E+01        +1.592987E+00
3.057438E+01        -1.785690E+01        +1.590184E+00
3.054691E+01        -1.782490E+01        +1.587287E+00
3.051947E+01        -1.779290E+01        +1.584484E+00
3.049205E+01        -1.776090E+01        +1.581587E+00
3.046466E+01        -1.772890E+01        +1.578785E+00
3.043730E+01        -1.769692E+01        +1.575889E+00
3.040995E+01        -1.766491E+01        +1.573085E+00
3.038264E+01        -1.763292E+01        +1.570286E+00
3.035534E+01        -1.760189E+01        +1.567486E+00
3.032807E+01        -1.756992E+01        +1.564686E+00
3.030083E+01        -1.753890E+01        +1.561790E+00
3.027361E+01        -1.750693E+01        +1.558987E+00
3.024641E+01        -1.747590E+01        +1.556187E+00
3.021924E+01        -1.744393E+01        +1.553484E+00
3.019210E+01        -1.741291E+01        +1.550688E+00
3.016497E+01        -1.738191E+01        +1.547887E+00
3.013788E+01        -1.734995E+01        +1.545088E+00
3.011080E+01        -1.731891E+01        +1.542288E+00
3.008375E+01        -1.728791E+01        +1.539488E+00
3.005673E+01        -1.725692E+01        +1.536786E+00
3.002973E+01        -1.722593E+01        +1.533989E+00
3.000275E+01        -1.719493E+01        +1.531286E+00
2.997580E+01        -1.716393E+01        +1.528490E+00
2.994887E+01        -1.713293E+01        +1.525786E+00
2.992197E+01        -1.710291E+01        +1.522990E+00
2.989509E+01        -1.707194E+01        +1.520287E+00
2.986824E+01        -1.704095E+01        +1.517588E+00
2.984140E+01        -1.701091E+01        +1.514791E+00
2.981460E+01        -1.697995E+01        +1.512088E+00
2.978781E+01        -1.694992E+01        +1.509388E+00
2.976106E+01        -1.691896E+01        +1.506689E+00
2.973432E+01        -1.688893E+01        +1.503989E+00
2.970761E+01        -1.685796E+01        +1.501289E+00
2.968092E+01        -1.682793E+01        +1.498589E+00
2.965426E+01        -1.679794E+01        +1.495890E+00
2.962762E+01        -1.676794E+01        +1.493190E+00
2.960101E+01        -1.673795E+01        +1.490491E+00
2.957442E+01        -1.670795E+01        +1.487888E+00
2.954785E+01        -1.667795E+01        +1.485191E+00
2.952130E+01        -1.664795E+01        +1.482491E+00
2.949479E+01        -1.661796E+01        +1.479889E+00
2.946829E+01        -1.658796E+01        +1.477192E+00
2.944182E+01        -1.655796E+01        +1.474589E+00
2.941537E+01        -1.652796E+01        +1.471892E+00
2.938895E+01        -1.649894E+01        +1.469193E+00
2.936255E+01        -1.646897E+01        +1.466590E+00
2.933617E+01        -1.643897E+01        +1.463990E+00
2.930982E+01        -1.640995E+01        +1.461294E+00
2.928349E+01        -1.637998E+01        +1.458691E+00
2.925718E+01        -1.635095E+01        +1.456090E+00
2.923090E+01        -1.632195E+01        +1.453491E+00
2.920464E+01        -1.629199E+01        +1.450891E+00
2.917840E+01        -1.626295E+01        +1.448291E+00
2.915219E+01        -1.623396E+01        +1.445691E+00
2.912600E+01        -1.620496E+01        +1.443091E+00
2.909984E+01        -1.617596E+01        +1.440492E+00
2.907370E+01        -1.614697E+01        +1.437892E+00
2.904758E+01        -1.611797E+01        +1.435292E+00
2.902149E+01        -1.608897E+01        +1.432693E+00
2.899542E+01        -1.605998E+01        +1.430190E+00
2.896937E+01        -1.603098E+01        +1.427593E+00
2.894335E+01        -1.600198E+01        +1.424994E+00
2.891735E+01        -1.597299E+01        +1.422490E+00
2.889137E+01        -1.594495E+01        +1.419894E+00
2.886542E+01        -1.591599E+01        +1.417391E+00
2.883949E+01        -1.588700E+01        +1.414795E+00
2.881358E+01        -1.585896E+01        +1.412291E+00
2.878770E+01        -1.583000E+01        +1.409792E+00
2.876183E+01        -1.580196E+01        +1.407195E+00
2.873600E+01        -1.577397E+01        +1.404692E+00
2.871018E+01        -1.574500E+01        +1.402192E+00
2.868439E+01        -1.571697E+01        +1.399692E+00
2.865863E+01        -1.568898E+01        +1.397097E+00
2.863288E+01        -1.566098E+01        +1.394593E+00
2.860716E+01        -1.563202E+01        +1.392093E+00
2.858146E+01        -1.560398E+01        +1.389593E+00
2.855579E+01        -1.557599E+01        +1.387094E+00
2.853013E+01        -1.554799E+01        +1.384594E+00
2.850450E+01        -1.551999E+01        +1.382190E+00
2.847890E+01        -1.549296E+01        +1.379695E+00
2.845332E+01        -1.546500E+01        +1.377195E+00
2.842776E+01        -1.543701E+01        +1.374695E+00
2.840222E+01        -1.540901E+01        +1.372195E+00
2.837670E+01        -1.538100E+01        +1.369791E+00
2.835121E+01        -1.535397E+01        +1.367295E+00
2.832574E+01        -1.532601E+01        +1.364892E+00
2.830030E+01        -1.529898E+01        +1.362396E+00
2.827488E+01        -1.527102E+01        +1.359993E+00
2.824948E+01        -1.524399E+01        +1.357497E+00
2.822410E+01        -1.521698E+01        +1.355093E+00
2.819875E+01        -1.518903E+01        +1.352598E+00
2.817341E+01        -1.516199E+01        +1.350193E+00
2.814811E+01        -1.513500E+01        +1.347794E+00
2.812282E+01        -1.510800E+01        +1.345394E+00
2.809756E+01        -1.508004E+01        +1.342995E+00
2.807232E+01        -1.505300E+01        +1.340499E+00
2.804710E+01        -1.502601E+01        +1.338095E+00
2.802190E+01        -1.499900E+01        +1.335695E+00
2.799673E+01        -1.497201E+01        +1.333295E+00
2.797158E+01        -1.494501E+01        +1.330991E+00
2.794645E+01        -1.491897E+01        +1.328595E+00
2.792135E+01        -1.489202E+01        +1.326196E+00
2.789627E+01        -1.486502E+01        +1.323796E+00
2.787121E+01        -1.483803E+01        +1.321397E+00
2.784617E+01        -1.481199E+01        +1.318997E+00
2.782116E+01        -1.478503E+01        +1.316693E+00
2.779616E+01        -1.475899E+01        +1.314297E+00
2.777119E+01        -1.473203E+01        +1.311897E+00
2.774625E+01        -1.470600E+01        +1.309594E+00
2.772132E+01        -1.467904E+01        +1.307198E+00
2.769642E+01        -1.465300E+01        +1.304894E+00
2.767154E+01        -1.462700E+01        +1.302594E+00
2.764668E+01        -1.460005E+01        +1.300199E+00
2.762184E+01        -1.457400E+01        +1.297894E+00
2.759703E+01        -1.454801E+01        +1.295499E+00
2.757224E+01        -1.452201E+01        +1.293195E+00
2.754747E+01        -1.449601E+01        +1.290895E+00
2.752273E+01        -1.447002E+01        +1.288596E+00
2.749800E+01        -1.444402E+01        +1.286296E+00
2.747330E+01        -1.441802E+01        +1.283900E+00
2.744862E+01        -1.439203E+01        +1.281596E+00
2.742396E+01        -1.436603E+01        +1.279296E+00
2.739933E+01        -1.434003E+01        +1.277093E+00
2.737471E+01        -1.431403E+01        +1.274797E+00
2.735012E+01        -1.428899E+01        +1.272497E+00
2.732555E+01        -1.426304E+01        +1.270197E+00
2.730101E+01        -1.423705E+01        +1.267898E+00
2.727648E+01        -1.421200E+01        +1.265598E+00
2.725198E+01        -1.418605E+01        +1.263298E+00
2.722750E+01        -1.416101E+01        +1.261094E+00
2.720304E+01        -1.413505E+01        +1.258799E+00
2.717860E+01        -1.411001E+01        +1.256594E+00
2.715419E+01        -1.408502E+01        +1.254299E+00
2.712979E+01        -1.405906E+01        +1.251999E+00
2.710542E+01        -1.403402E+01        +1.249795E+00
2.708107E+01        -1.400902E+01        +1.247499E+00
2.705675E+01        -1.398403E+01        +1.245296E+00
2.703244E+01        -1.395807E+01        +1.243096E+00
2.700816E+01        -1.393303E+01        +1.240801E+00
2.698390E+01        -1.390804E+01        +1.238597E+00
2.695966E+01        -1.388399E+01        +1.236397E+00
2.693544E+01        -1.385808E+01        +1.234197E+00
2.691124E+01        -1.383399E+01        +1.231901E+00
2.688707E+01        -1.380905E+01        +1.229698E+00
2.686291E+01        -1.378404E+01        +1.227497E+00
2.683878E+01        -1.375905E+01        +1.225297E+00
2.681467E+01        -1.373405E+01        +1.223098E+00
2.679058E+01        -1.371000E+01        +1.220898E+00
2.676652E+01        -1.368506E+01        +1.218698E+00
2.674247E+01        -1.366101E+01        +1.216594E+00
2.671845E+01        -1.363606E+01        +1.214399E+00
2.669445E+01        -1.361202E+01        +1.212199E+00
2.667047E+01        -1.358707E+01        +1.209999E+00
2.664651E+01        -1.356302E+01        +1.207799E+00
2.662257E+01        -1.353807E+01        +1.205695E+00
2.659866E+01        -1.351403E+01        +1.203500E+00
2.657476E+01        -1.349003E+01        +1.201300E+00
2.655089E+01        -1.346603E+01        +1.199196E+00
2.652704E+01        -1.344108E+01        +1.197001E+00
2.650321E+01        -1.341704E+01        +1.194896E+00
2.647940E+01        -1.339304E+01        +1.192701E+00
2.645561E+01        -1.336904E+01        +1.190596E+00
2.643185E+01        -1.334504E+01        +1.188497E+00
2.640810E+01        -1.332104E+01        +1.186301E+00
2.638438E+01        -1.329705E+01        +1.184197E+00
2.636068E+01        -1.327305E+01        +1.182097E+00
2.633700E+01        -1.324905E+01        +1.179902E+00
2.631334E+01        -1.322601E+01        +1.177798E+00
2.628970E+01        -1.320205E+01        +1.175698E+00
2.626609E+01        -1.317806E+01        +1.173598E+00
2.624249E+01        -1.315406E+01        +1.171498E+00
2.621892E+01        -1.313102E+01        +1.169399E+00
2.619536E+01        -1.310706E+01        +1.167298E+00
2.617183E+01        -1.308402E+01        +1.165199E+00
2.614832E+01        -1.306007E+01        +1.163099E+00
2.612483E+01        -1.303702E+01        +1.160999E+00
2.610136E+01        -1.301307E+01        +1.158899E+00
2.607792E+01        -1.299003E+01        +1.156800E+00
2.605449E+01        -1.296703E+01        +1.154795E+00
2.603109E+01        -1.294309E+01        +1.152701E+00
2.600770E+01        -1.292004E+01        +1.150600E+00
2.598434E+01        -1.289704E+01        +1.148501E+00
2.596100E+01        -1.287405E+01        +1.146496E+00
2.593768E+01        -1.285105E+01        +1.144402E+00
2.591438E+01        -1.282805E+01        +1.142397E+00
2.589110E+01        -1.280410E+01        +1.140302E+00
2.586784E+01        -1.278105E+01        +1.138297E+00
2.584460E+01        -1.275901E+01        +1.136202E+00
2.582138E+01        -1.273605E+01        +1.134197E+00
2.579819E+01        -1.271306E+01        +1.132198E+00
2.577501E+01        -1.269006E+01        +1.130102E+00
2.575186E+01        -1.266707E+01        +1.128098E+00
2.572873E+01        -1.264407E+01        +1.126099E+00
2.570561E+01        -1.262202E+01        +1.124003E+00
2.568252E+01        -1.259907E+01        +1.121998E+00
2.565945E+01        -1.257607E+01        +1.119999E+00
2.563640E+01        -1.255403E+01        +1.117999E+00
2.561337E+01        -1.253108E+01        +1.115999E+00
2.559036E+01        -1.250903E+01        +1.113999E+00
2.556737E+01        -1.248608E+01        +1.111999E+00
2.554441E+01        -1.246404E+01        +1.110000E+00
2.552146E+01        -1.244204E+01        +1.108000E+00
2.549853E+01        -1.241909E+01        +1.106000E+00
2.547563E+01        -1.239704E+01        +1.104001E+00
2.545274E+01        -1.237504E+01        +1.102000E+00
2.542988E+01        -1.235210E+01        +1.100001E+00
2.540703E+01        -1.233005E+01        +1.098096E+00
2.538421E+01        -1.230805E+01        +1.096101E+00
2.536141E+01        -1.228606E+01        +1.094102E+00
2.533862E+01        -1.226405E+01        +1.092196E+00
2.531586E+01        -1.224206E+01        +1.090202E+00
2.529312E+01        -1.222006E+01        +1.088202E+00
2.527040E+01        -1.219806E+01        +1.086297E+00
2.524770E+01        -1.217607E+01        +1.084303E+00
2.522502E+01        -1.215407E+01        +1.082398E+00
2.520236E+01        -1.213207E+01        +1.080403E+00
2.517972E+01        -1.211102E+01        +1.078498E+00
2.515710E+01        -1.208907E+01        +1.076598E+00
2.513450E+01        -1.206707E+01        +1.074603E+00
2.511192E+01        -1.204508E+01        +1.072698E+00
2.508936E+01        -1.202402E+01        +1.070798E+00
2.506682E+01        -1.200208E+01        +1.068898E+00
2.504431E+01        -1.198009E+01        +1.066999E+00
2.502181E+01        -1.195903E+01        +1.065004E+00
2.499933E+01        -1.193803E+01        +1.063099E+00
2.497687E+01        -1.191609E+01        +1.061199E+00
2.495444E+01        -1.189504E+01        +1.059300E+00
2.493202E+01        -1.187309E+01        +1.057400E+00
2.490962E+01        -1.185204E+01        +1.055500E+00
2.488725E+01        -1.183105E+01        +1.053601E+00
2.486489E+01        -1.181005E+01        +1.051700E+00
