# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           P_int (e^4) [MeV^4]
3.402549E+01        -1.780821E+01
3.399492E+01        -1.774120E+01
3.396438E+01        -1.767519E+01
3.393387E+01        -1.760821E+01
3.390339E+01        -1.754221E+01
3.387293E+01        -1.747621E+01
3.384251E+01        -1.741121E+01
3.381210E+01        -1.734522E+01
3.378173E+01        -1.728022E+01
3.375138E+01        -1.721522E+01
3.372106E+01        -1.715022E+01
3.369077E+01        -1.708621E+01
3.366051E+01        -1.702223E+01
3.363027E+01        -1.695823E+01
3.360006E+01        -1.689424E+01
3.356988E+01        -1.683123E+01
3.353972E+01        -1.676823E+01
3.350959E+01        -1.670524E+01
3.347949E+01        -1.664225E+01
3.344941E+01        -1.657925E+01
3.341936E+01        -1.651723E+01
3.338934E+01        -1.645524E+01
3.335935E+01        -1.639325E+01
3.332938E+01        -1.633223E+01
3.329944E+01        -1.627026E+01
3.326953E+01        -1.620925E+01
3.323964E+01        -1.614825E+01
3.320978E+01        -1.608824E+01
3.317995E+01        -1.602727E+01
3.315014E+01        -1.596724E+01
3.312036E+01        -1.590725E+01
3.309061E+01        -1.584726E+01
3.306089E+01        -1.578826E+01
3.303119E+01        -1.572926E+01
3.300151E+01        -1.566927E+01
3.297187E+01        -1.561125E+01
3.294225E+01        -1.555227E+01
3.291266E+01        -1.549426E+01
3.288309E+01        -1.543528E+01
3.285355E+01        -1.537727E+01
3.282404E+01        -1.532025E+01
3.279455E+01        -1.526228E+01
3.276509E+01        -1.520526E+01
3.273566E+01        -1.514827E+01
3.270625E+01        -1.509127E+01
3.267687E+01        -1.503428E+01
3.264752E+01        -1.497827E+01
3.261819E+01        -1.492129E+01
3.258889E+01        -1.486528E+01
3.255961E+01        -1.481025E+01
3.253036E+01        -1.475428E+01
3.250114E+01        -1.469829E+01
3.247195E+01        -1.464328E+01
3.244278E+01        -1.458829E+01
3.241363E+01        -1.453328E+01
3.238451E+01        -1.447926E+01
3.235542E+01        -1.442429E+01
3.232636E+01        -1.437028E+01
3.229732E+01        -1.431629E+01
3.226830E+01        -1.426228E+01
3.223932E+01        -1.420928E+01
3.221036E+01        -1.415628E+01
3.218142E+01        -1.410230E+01
3.215251E+01        -1.404928E+01
3.212363E+01        -1.399629E+01
3.209477E+01        -1.394427E+01
3.206594E+01        -1.389130E+01
3.203713E+01        -1.383927E+01
3.200836E+01        -1.378730E+01
3.197960E+01        -1.373626E+01
3.195087E+01        -1.368429E+01
3.192217E+01        -1.363327E+01
3.189350E+01        -1.358132E+01
3.186485E+01        -1.353030E+01
3.183622E+01        -1.348027E+01
3.180762E+01        -1.342930E+01
3.177905E+01        -1.337831E+01
3.175050E+01        -1.332828E+01
3.172198E+01        -1.327829E+01
3.169348E+01        -1.322829E+01
3.166501E+01        -1.317829E+01
3.163657E+01        -1.312928E+01
3.160815E+01        -1.308029E+01
3.157975E+01        -1.303031E+01
3.155138E+01        -1.298128E+01
3.152304E+01        -1.293327E+01
3.149472E+01        -1.288430E+01
3.146643E+01        -1.283628E+01
3.143816E+01        -1.278730E+01
3.140992E+01        -1.273928E+01
3.138171E+01        -1.269227E+01
3.135352E+01        -1.264430E+01
3.132535E+01        -1.259630E+01
3.129721E+01        -1.254928E+01
3.126910E+01        -1.250229E+01
3.124101E+01        -1.245530E+01
3.121294E+01        -1.240829E+01
3.118490E+01        -1.236129E+01
3.115689E+01        -1.231528E+01
3.112890E+01        -1.226928E+01
3.110094E+01        -1.222329E+01
3.107300E+01        -1.217729E+01
3.104509E+01        -1.213130E+01
3.101720E+01        -1.208530E+01
3.098933E+01        -1.204027E+01
3.096150E+01        -1.199529E+01
3.093368E+01        -1.194931E+01
3.090589E+01        -1.190525E+01
3.087813E+01        -1.186029E+01
3.085039E+01        -1.181529E+01
3.082268E+01        -1.177128E+01
3.079499E+01        -1.172728E+01
3.076733E+01        -1.168329E+01
3.073969E+01        -1.163929E+01
3.071207E+01        -1.159528E+01
3.068448E+01        -1.155129E+01
3.065692E+01        -1.150827E+01
3.062938E+01        -1.146527E+01
3.060187E+01        -1.142229E+01
3.057438E+01        -1.137929E+01
3.054691E+01        -1.133629E+01
3.051947E+01        -1.129329E+01
3.049205E+01        -1.125126E+01
3.046466E+01        -1.120927E+01
3.043730E+01        -1.116631E+01
3.040995E+01        -1.112427E+01
3.038264E+01        -1.108326E+01
3.035534E+01        -1.104128E+01
3.032807E+01        -1.099929E+01
3.030083E+01        -1.095827E+01
3.027361E+01        -1.091727E+01
3.024641E+01        -1.087627E+01
3.021924E+01        -1.083527E+01
3.019210E+01        -1.079429E+01
3.016497E+01        -1.075425E+01
3.013788E+01        -1.071329E+01
3.011080E+01        -1.067326E+01
3.008375E+01        -1.063326E+01
3.005673E+01        -1.059327E+01
3.002973E+01        -1.055327E+01
3.000275E+01        -1.051327E+01
2.997580E+01        -1.047425E+01
2.994887E+01        -1.043525E+01
2.992197E+01        -1.039529E+01
2.989509E+01        -1.035626E+01
2.986824E+01        -1.031727E+01
2.984140E+01        -1.027826E+01
2.981460E+01        -1.024024E+01
2.978781E+01        -1.020127E+01
2.976106E+01        -1.016325E+01
2.973432E+01        -1.012525E+01
2.970761E+01        -1.008726E+01
2.968092E+01        -1.004925E+01
2.965426E+01        -1.001126E+01
2.962762E+01        -9.973652E+00
2.960101E+01        -9.936256E+00
2.957442E+01        -9.898861E+00
2.954785E+01        -9.861654E+00
2.952130E+01        -9.824545E+00
2.949479E+01        -9.787655E+00
2.946829E+01        -9.750849E+00
2.944182E+01        -9.714152E+00
2.941537E+01        -9.677646E+00
2.938895E+01        -9.641252E+00
2.936255E+01        -9.604953E+00
2.933617E+01        -9.568846E+00
2.930982E+01        -9.532947E+00
2.928349E+01        -9.497050E+00
2.925718E+01        -9.461340E+00
2.923090E+01        -9.425743E+00
2.920464E+01        -9.390338E+00
2.917840E+01        -9.355031E+00
2.915219E+01        -9.319833E+00
2.912600E+01        -9.284827E+00
2.909984E+01        -9.249933E+00
2.907370E+01        -9.215134E+00
2.904758E+01        -9.180430E+00
2.902149E+01        -9.145932E+00
2.899542E+01        -9.111532E+00
2.896937E+01        -9.077325E+00
2.894335E+01        -9.043133E+00
2.891735E+01        -9.009129E+00
2.889137E+01        -8.975322E+00
2.886542E+01        -8.941530E+00
2.883949E+01        -8.907926E+00
2.881358E+01        -8.874422E+00
2.878770E+01        -8.841026E+00
2.876183E+01        -8.807810E+00
2.873600E+01        -8.774623E+00
2.871018E+01        -8.741611E+00
2.868439E+01        -8.708808E+00
2.865863E+01        -8.676021E+00
2.863288E+01        -8.643410E+00
2.860716E+01        -8.610911E+00
2.858146E+01        -8.578508E+00
2.855579E+01        -8.546214E+00
2.853013E+01        -8.514100E+00
2.850450E+01        -8.482098E+00
2.847890E+01        -8.450205E+00
2.845332E+01        -8.418409E+00
2.842776E+01        -8.386804E+00
