# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# Baseline: O(e^2) non-log + O(e^2) log summed into col 2;
# O(e^3) in col 3. Loader sums col 2 + col 3.
# T (MeV)           dP_int/dT (e^2+e^3) [MeV^3] p^(2)   p^(3)
4.000000E+01        -4.074875E+02        +3.629000E+01
3.996407E+01        -4.063877E+02        +3.619202E+01
3.992817E+01        -4.052978E+02        +3.609403E+01
3.989230E+01        -4.042079E+02        +3.599703E+01
3.985646E+01        -4.031179E+02        +3.590003E+01
3.982066E+01        -4.020281E+02        +3.580405E+01
3.978489E+01        -4.009482E+02        +3.570706E+01
3.974915E+01        -3.998683E+02        +3.561107E+01
3.971344E+01        -3.987884E+02        +3.551507E+01
3.967777E+01        -3.977186E+02        +3.541910E+01
3.964212E+01        -3.966485E+02        +3.532409E+01
3.960651E+01        -3.955787E+02        +3.522910E+01
3.957093E+01        -3.945088E+02        +3.513411E+01
3.953539E+01        -3.934491E+02        +3.503914E+01
3.949987E+01        -3.923890E+02        +3.494513E+01
3.946439E+01        -3.913292E+02        +3.485115E+01
3.942894E+01        -3.902794E+02        +3.475716E+01
3.939352E+01        -3.892295E+02        +3.466417E+01
3.935813E+01        -3.881795E+02        +3.457018E+01
3.932277E+01        -3.871395E+02        +3.447717E+01
3.928745E+01        -3.860897E+02        +3.438419E+01
3.925215E+01        -3.850496E+02        +3.429218E+01
3.921689E+01        -3.840197E+02        +3.419919E+01
3.918166E+01        -3.829798E+02        +3.410720E+01
3.914647E+01        -3.819501E+02        +3.401623E+01
3.911130E+01        -3.809201E+02        +3.392423E+01
3.907617E+01        -3.799003E+02        +3.383324E+01
3.904106E+01        -3.788702E+02        +3.374124E+01
3.900599E+01        -3.778503E+02        +3.365124E+01
3.897095E+01        -3.768404E+02        +3.356025E+01
3.893595E+01        -3.758208E+02        +3.347028E+01
3.890097E+01        -3.748108E+02        +3.337929E+01
3.886602E+01        -3.738007E+02        +3.328928E+01
3.883111E+01        -3.727909E+02        +3.320030E+01
3.879623E+01        -3.717911E+02        +3.311131E+01
3.876138E+01        -3.707912E+02        +3.302133E+01
3.872656E+01        -3.697913E+02        +3.293233E+01
3.869177E+01        -3.687914E+02        +3.284433E+01
3.865701E+01        -3.678014E+02        +3.275534E+01
3.862228E+01        -3.668114E+02        +3.266734E+01
3.858759E+01        -3.658216E+02        +3.257936E+01
3.855292E+01        -3.648415E+02        +3.249135E+01
3.851829E+01        -3.638517E+02        +3.240436E+01
3.848369E+01        -3.628718E+02        +3.231737E+01
3.844912E+01        -3.619019E+02        +3.223038E+01
3.841458E+01        -3.609220E+02        +3.214339E+01
3.838007E+01        -3.599520E+02        +3.205640E+01
3.834559E+01        -3.589821E+02        +3.197039E+01
3.831115E+01        -3.580123E+02        +3.188442E+01
3.827673E+01        -3.570523E+02        +3.179842E+01
3.824235E+01        -3.560925E+02        +3.171244E+01
3.820799E+01        -3.551324E+02        +3.162742E+01
3.817367E+01        -3.541726E+02        +3.154244E+01
3.813938E+01        -3.532227E+02        +3.145745E+01
3.810512E+01        -3.522728E+02        +3.137246E+01
3.807089E+01        -3.513229E+02        +3.128847E+01
3.803669E+01        -3.503730E+02        +3.120348E+01
3.800252E+01        -3.494330E+02        +3.111948E+01
3.796838E+01        -3.484931E+02        +3.103648E+01
3.793427E+01        -3.475531E+02        +3.095249E+01
3.790020E+01        -3.466134E+02        +3.086951E+01
3.786615E+01        -3.456833E+02        +3.078651E+01
3.783213E+01        -3.447533E+02        +3.070351E+01
3.779815E+01        -3.438236E+02        +3.062053E+01
3.776419E+01        -3.428935E+02        +3.053852E+01
3.773027E+01        -3.419736E+02        +3.045554E+01
3.769638E+01        -3.410538E+02        +3.037355E+01
3.766251E+01        -3.401338E+02        +3.029154E+01
3.762868E+01        -3.392239E+02        +3.021055E+01
3.759488E+01        -3.383041E+02        +3.012956E+01
3.756111E+01        -3.373942E+02        +3.004759E+01
3.752736E+01        -3.364840E+02        +2.996657E+01
3.749365E+01        -3.355841E+02        +2.988657E+01
3.745997E+01        -3.346743E+02        +2.980559E+01
3.742632E+01        -3.337743E+02        +2.972559E+01
3.739270E+01        -3.328744E+02        +2.964560E+01
3.735911E+01        -3.319845E+02        +2.956561E+01
3.732555E+01        -3.310846E+02        +2.948661E+01
3.729202E+01        -3.301947E+02        +2.940663E+01
3.725852E+01        -3.293048E+02        +2.932763E+01
3.722505E+01        -3.284148E+02        +2.924863E+01
3.719161E+01        -3.275348E+02        +2.916964E+01
3.715820E+01        -3.266549E+02        +2.909164E+01
3.712482E+01        -3.257750E+02        +2.901266E+01
3.709147E+01        -3.248951E+02        +2.893466E+01
3.705815E+01        -3.240251E+02        +2.885666E+01
3.702486E+01        -3.231453E+02        +2.877966E+01
3.699160E+01        -3.222753E+02        +2.870168E+01
3.695837E+01        -3.214054E+02        +2.862468E+01
3.692517E+01        -3.205454E+02        +2.854769E+01
3.689200E+01        -3.196855E+02        +2.847070E+01
3.685886E+01        -3.188157E+02        +2.839370E+01
3.682575E+01        -3.179656E+02        +2.831771E+01
3.679267E+01        -3.171058E+02        +2.824172E+01
3.675961E+01        -3.162556E+02        +2.816570E+01
3.672659E+01        -3.153958E+02        +2.808972E+01
3.669360E+01        -3.145558E+02        +2.801373E+01
3.666064E+01        -3.137060E+02        +2.793873E+01
3.662771E+01        -3.128562E+02        +2.786275E+01
3.659480E+01        -3.120160E+02        +2.778774E+01
3.656193E+01        -3.111762E+02        +2.771275E+01
3.652908E+01        -3.103361E+02        +2.763874E+01
3.649627E+01        -3.095062E+02        +2.756377E+01
3.646348E+01        -3.086663E+02        +2.748975E+01
3.643073E+01        -3.078364E+02        +2.741577E+01
3.639800E+01        -3.070064E+02        +2.734177E+01
3.636531E+01        -3.061865E+02        +2.726878E+01
3.633264E+01        -3.053567E+02        +2.719480E+01
3.630000E+01        -3.045366E+02        +2.712179E+01
3.626739E+01        -3.037167E+02        +2.704879E+01
3.623481E+01        -3.028967E+02        +2.697580E+01
3.620226E+01        -3.020768E+02        +2.690380E+01
3.616974E+01        -3.012668E+02        +2.683082E+01
3.613725E+01        -3.004570E+02        +2.675882E+01
3.610479E+01        -2.996471E+02        +2.668683E+01
3.607235E+01        -2.988370E+02        +2.661482E+01
3.603995E+01        -2.980371E+02        +2.654284E+01
3.600757E+01        -2.972371E+02        +2.647183E+01
3.597523E+01        -2.964373E+02        +2.640085E+01
3.594291E+01        -2.956373E+02        +2.632886E+01
3.591062E+01        -2.948373E+02        +2.625884E+01
3.587836E+01        -2.940473E+02        +2.618785E+01
3.584613E+01        -2.932574E+02        +2.611686E+01
3.581393E+01        -2.924675E+02        +2.604686E+01
3.578176E+01        -2.916776E+02        +2.597687E+01
3.574961E+01        -2.908875E+02        +2.590686E+01
3.571750E+01        -2.901076E+02        +2.583688E+01
3.568541E+01        -2.893276E+02        +2.576786E+01
3.565336E+01        -2.885478E+02        +2.569790E+01
3.562133E+01        -2.877678E+02        +2.562889E+01
3.558933E+01        -2.869978E+02        +2.555989E+01
3.555736E+01        -2.862180E+02        +2.549090E+01
3.552542E+01        -2.854480E+02        +2.542290E+01
3.549351E+01        -2.846781E+02        +2.535393E+01
3.546162E+01        -2.839179E+02        +2.528591E+01
3.542977E+01        -2.831483E+02        +2.521793E+01
3.539794E+01        -2.823882E+02        +2.514993E+01
3.536614E+01        -2.816282E+02        +2.508193E+01
3.533437E+01        -2.808683E+02        +2.501492E+01
3.530263E+01        -2.801183E+02        +2.494695E+01
3.527092E+01        -2.793585E+02        +2.487995E+01
3.523923E+01        -2.786084E+02        +2.481294E+01
3.520758E+01        -2.778586E+02        +2.474596E+01
3.517595E+01        -2.771086E+02        +2.467995E+01
3.514435E+01        -2.763586E+02        +2.461297E+01
3.511278E+01        -2.756186E+02        +2.454696E+01
3.508124E+01        -2.748787E+02        +2.448097E+01
3.504972E+01        -2.741387E+02        +2.441497E+01
3.501824E+01        -2.733989E+02        +2.434898E+01
3.498678E+01        -2.726589E+02        +2.428299E+01
3.495535E+01        -2.719288E+02        +2.421798E+01
3.492395E+01        -2.711989E+02        +2.415298E+01
3.489258E+01        -2.704592E+02        +2.408800E+01
3.486123E+01        -2.697388E+02        +2.402299E+01
3.482991E+01        -2.690090E+02        +2.395799E+01
3.479863E+01        -2.682891E+02        +2.389400E+01
3.476737E+01        -2.675593E+02        +2.382902E+01
3.473613E+01        -2.668390E+02        +2.376500E+01
3.470493E+01        -2.661192E+02        +2.370101E+01
3.467375E+01        -2.654090E+02        +2.363799E+01
3.464261E+01        -2.646895E+02        +2.357403E+01
3.461149E+01        -2.639794E+02        +2.351004E+01
3.458039E+01        -2.632693E+02        +2.344701E+01
3.454933E+01        -2.625594E+02        +2.338403E+01
3.451829E+01        -2.618494E+02        +2.332102E+01
3.448729E+01        -2.611495E+02        +2.325805E+01
3.445630E+01        -2.604494E+02        +2.319602E+01
3.442535E+01        -2.597397E+02        +2.313305E+01
3.439443E+01        -2.590397E+02        +2.307105E+01
3.436353E+01        -2.583495E+02        +2.300905E+01
3.433266E+01        -2.576497E+02        +2.294705E+01
3.430182E+01        -2.569597E+02        +2.288506E+01
3.427101E+01        -2.562600E+02        +2.282307E+01
3.424022E+01        -2.555698E+02        +2.276206E+01
3.420946E+01        -2.548897E+02        +2.270106E+01
3.417873E+01        -2.541999E+02        +2.263908E+01
3.414803E+01        -2.535101E+02        +2.257906E+01
3.411735E+01        -2.528299E+02        +2.251808E+01
3.408670E+01        -2.521499E+02        +2.245708E+01
3.405608E+01        -2.514700E+02        +2.239609E+01
3.402549E+01        -2.507901E+02        +2.233608E+01
3.399492E+01        -2.501199E+02        +2.227608E+01
3.396438E+01        -2.494500E+02        +2.221608E+01
3.393387E+01        -2.487702E+02        +2.215609E+01
3.390339E+01        -2.481002E+02        +2.209708E+01
3.387293E+01        -2.474400E+02        +2.203710E+01
3.384251E+01        -2.467704E+02        +2.197810E+01
3.381210E+01        -2.461003E+02        +2.191909E+01
3.378173E+01        -2.454403E+02        +2.186011E+01
3.375138E+01        -2.447803E+02        +2.180111E+01
3.372106E+01        -2.441203E+02        +2.174211E+01
3.369077E+01        -2.434703E+02        +2.168410E+01
3.366051E+01        -2.428106E+02        +2.162514E+01
3.363027E+01        -2.421604E+02        +2.156712E+01
3.360006E+01        -2.415007E+02        +2.150912E+01
3.356988E+01        -2.408507E+02        +2.145114E+01
3.353972E+01        -2.402007E+02        +2.139314E+01
3.350959E+01        -2.395605E+02        +2.133514E+01
3.347949E+01        -2.389108E+02        +2.127813E+01
3.344941E+01        -2.382706E+02        +2.122113E+01
3.341936E+01        -2.376306E+02        +2.116413E+01
3.338934E+01        -2.369907E+02        +2.110714E+01
3.335935E+01        -2.363509E+02        +2.105015E+01
3.332938E+01        -2.357109E+02        +2.099315E+01
3.329944E+01        -2.350807E+02        +2.093714E+01
3.326953E+01        -2.344411E+02        +2.088017E+01
3.323964E+01        -2.338109E+02        +2.082415E+01
3.320978E+01        -2.331809E+02        +2.076815E+01
3.317995E+01        -2.325510E+02        +2.071216E+01
3.315014E+01        -2.319308E+02        +2.065616E+01
3.312036E+01        -2.313011E+02        +2.060115E+01
3.309061E+01        -2.306810E+02        +2.054518E+01
3.306089E+01        -2.300612E+02        +2.049017E+01
3.303119E+01        -2.294412E+02        +2.043518E+01
3.300151E+01        -2.288211E+02        +2.038017E+01
3.297187E+01        -2.282111E+02        +2.032518E+01
3.294225E+01        -2.275913E+02        +2.027019E+01
3.291266E+01        -2.269812E+02        +2.021520E+01
3.288309E+01        -2.263712E+02        +2.016117E+01
3.285355E+01        -2.257613E+02        +2.010718E+01
3.282404E+01        -2.251514E+02        +2.005319E+01
3.279455E+01        -2.245414E+02        +1.999919E+01
3.276509E+01        -2.239412E+02        +1.994519E+01
3.273566E+01        -2.233414E+02        +1.989120E+01
3.270625E+01        -2.227316E+02        +1.983720E+01
3.267687E+01        -2.221314E+02        +1.978419E+01
3.264752E+01        -2.215414E+02        +1.973120E+01
3.261819E+01        -2.209416E+02        +1.967820E+01
3.258889E+01        -2.203515E+02        +1.962521E+01
3.255961E+01        -2.197516E+02        +1.957221E+01
3.253036E+01        -2.191615E+02        +1.951921E+01
3.250114E+01        -2.185716E+02        +1.946622E+01
3.247195E+01        -2.179818E+02        +1.941421E+01
3.244278E+01        -2.173918E+02        +1.936222E+01
3.241363E+01        -2.168115E+02        +1.931021E+01
3.238451E+01        -2.162218E+02        +1.925821E+01
3.235542E+01        -2.156416E+02        +1.920622E+01
3.232636E+01        -2.150618E+02        +1.915424E+01
3.229732E+01        -2.144818E+02        +1.910322E+01
3.226830E+01        -2.139115E+02        +1.905123E+01
3.223932E+01        -2.133320E+02        +1.900023E+01
3.221036E+01        -2.127520E+02        +1.894923E+01
3.218142E+01        -2.121818E+02        +1.889823E+01
3.215251E+01        -2.116118E+02        +1.884723E+01
3.212363E+01        -2.110419E+02        +1.879625E+01
3.209477E+01        -2.104719E+02        +1.874525E+01
3.206594E+01        -2.099020E+02        +1.869523E+01
3.203713E+01        -2.093417E+02        +1.864523E+01
3.200836E+01        -2.087722E+02        +1.859427E+01
3.197960E+01        -2.082119E+02        +1.854424E+01
3.195087E+01        -2.076519E+02        +1.849424E+01
3.192217E+01        -2.070920E+02        +1.844522E+01
3.189350E+01        -2.065419E+02        +1.839527E+01
3.186485E+01        -2.059823E+02        +1.834527E+01
3.183622E+01        -2.054222E+02        +1.829624E+01
3.180762E+01        -2.048720E+02        +1.824725E+01
3.177905E+01        -2.043221E+02        +1.819826E+01
3.175050E+01        -2.037721E+02        +1.814926E+01
3.172198E+01        -2.032222E+02        +1.810026E+01
3.169348E+01        -2.026722E+02        +1.805126E+01
3.166501E+01        -2.021320E+02        +1.800227E+01
3.163657E+01        -2.015824E+02        +1.795426E+01
3.160815E+01        -2.010422E+02        +1.790529E+01
3.157975E+01        -2.005022E+02        +1.785726E+01
3.155138E+01        -1.999622E+02        +1.780926E+01
3.152304E+01        -1.994223E+02        +1.776127E+01
3.149472E+01        -1.988823E+02        +1.771327E+01
3.146643E+01        -1.983522E+02        +1.766625E+01
3.143816E+01        -1.978124E+02        +1.761828E+01
3.140992E+01        -1.972822E+02        +1.757126E+01
3.138171E+01        -1.967524E+02        +1.752330E+01
3.135352E+01        -1.962225E+02        +1.747628E+01
3.132535E+01        -1.956924E+02        +1.742928E+01
3.129721E+01        -1.951625E+02        +1.738228E+01
3.126910E+01        -1.946424E+02        +1.733529E+01
3.124101E+01        -1.941127E+02        +1.728927E+01
3.121294E+01        -1.935924E+02        +1.724229E+01
3.118490E+01        -1.930724E+02        +1.719627E+01
3.115689E+01        -1.925525E+02        +1.714931E+01
3.112890E+01        -1.920326E+02        +1.710328E+01
3.110094E+01        -1.915127E+02        +1.705729E+01
3.107300E+01        -1.910024E+02        +1.701129E+01
3.104509E+01        -1.904828E+02        +1.696628E+01
3.101720E+01        -1.899726E+02        +1.692031E+01
3.098933E+01        -1.894625E+02        +1.687430E+01
3.096150E+01        -1.889527E+02        +1.682929E+01
3.093368E+01        -1.884426E+02        +1.678331E+01
3.090589E+01        -1.879326E+02        +1.673828E+01
3.087813E+01        -1.874325E+02        +1.669329E+01
3.085039E+01        -1.869228E+02        +1.664830E+01
3.082268E+01        -1.864226E+02        +1.660331E+01
3.079499E+01        -1.859226E+02        +1.655928E+01
3.076733E+01        -1.854227E+02        +1.651432E+01
3.073969E+01        -1.849228E+02        +1.647029E+01
3.071207E+01        -1.844227E+02        +1.642531E+01
3.068448E+01        -1.839227E+02        +1.638129E+01
3.065692E+01        -1.834326E+02        +1.633730E+01
3.062938E+01        -1.829329E+02        +1.629330E+01
3.060187E+01        -1.824428E+02        +1.624932E+01
3.057438E+01        -1.819528E+02        +1.620532E+01
3.054691E+01        -1.814628E+02        +1.616229E+01
3.051947E+01        -1.809728E+02        +1.611832E+01
3.049205E+01        -1.804828E+02        +1.607529E+01
3.046466E+01        -1.800026E+02        +1.603230E+01
3.043730E+01        -1.795131E+02        +1.598834E+01
3.040995E+01        -1.790327E+02        +1.594531E+01
3.038264E+01        -1.785529E+02        +1.590232E+01
3.035534E+01        -1.780728E+02        +1.586028E+01
3.032807E+01        -1.775928E+02        +1.581732E+01
3.030083E+01        -1.771130E+02        +1.577433E+01
3.027361E+01        -1.766330E+02        +1.573230E+01
3.024641E+01        -1.761627E+02        +1.568933E+01
3.021924E+01        -1.756830E+02        +1.564730E+01
3.019210E+01        -1.752129E+02        +1.560532E+01
3.016497E+01        -1.747428E+02        +1.556331E+01
3.013788E+01        -1.742633E+02        +1.552133E+01
3.011080E+01        -1.738026E+02        +1.547932E+01
3.008375E+01        -1.733329E+02        +1.543829E+01
3.005673E+01        -1.728631E+02        +1.539633E+01
3.002973E+01        -1.723931E+02        +1.535531E+01
3.000275E+01        -1.719328E+02        +1.531334E+01
2.997580E+01        -1.714729E+02        +1.527231E+01
2.994887E+01        -1.710129E+02        +1.523131E+01
2.992197E+01        -1.705530E+02        +1.519032E+01
2.989509E+01        -1.700930E+02        +1.514933E+01
2.986824E+01        -1.696332E+02        +1.510834E+01
2.984140E+01        -1.691731E+02        +1.506830E+01
2.981460E+01        -1.687229E+02        +1.502734E+01
2.978781E+01        -1.682631E+02        +1.498730E+01
2.976106E+01        -1.678130E+02        +1.494635E+01
2.973432E+01        -1.673630E+02        +1.490632E+01
2.970761E+01        -1.669130E+02        +1.486632E+01
2.968092E+01        -1.664630E+02        +1.482632E+01
2.965426E+01        -1.660131E+02        +1.478633E+01
2.962762E+01        -1.655632E+02        +1.474633E+01
2.960101E+01        -1.651133E+02        +1.470634E+01
2.957442E+01        -1.646730E+02        +1.466732E+01
2.954785E+01        -1.642330E+02        +1.462735E+01
2.952130E+01        -1.637833E+02        +1.458831E+01
2.949479E+01        -1.633431E+02        +1.454933E+01
2.946829E+01        -1.629031E+02        +1.450936E+01
2.944182E+01        -1.624729E+02        +1.447033E+01
2.941537E+01        -1.620332E+02        +1.443133E+01
2.938895E+01        -1.615933E+02        +1.439331E+01
2.936255E+01        -1.611630E+02        +1.435435E+01
2.933617E+01        -1.607234E+02        +1.431535E+01
2.930982E+01        -1.602931E+02        +1.427732E+01
2.928349E+01        -1.598632E+02        +1.423836E+01
2.925718E+01        -1.594331E+02        +1.420032E+01
2.923090E+01        -1.590032E+02        +1.416233E+01
2.920464E+01        -1.585732E+02        +1.412336E+01
2.917840E+01        -1.581432E+02        +1.408533E+01
2.915219E+01        -1.577229E+02        +1.404733E+01
2.912600E+01        -1.572933E+02        +1.401030E+01
2.909984E+01        -1.568730E+02        +1.397234E+01
2.907370E+01        -1.564531E+02        +1.393435E+01
2.904758E+01        -1.560235E+02        +1.389731E+01
2.902149E+01        -1.556032E+02        +1.385936E+01
2.899542E+01        -1.551929E+02        +1.382233E+01
2.896937E+01        -1.547733E+02        +1.378533E+01
2.894335E+01        -1.543534E+02        +1.374833E+01
2.891735E+01        -1.539334E+02        +1.371134E+01
2.889137E+01        -1.535230E+02        +1.367434E+01
2.886542E+01        -1.531131E+02        +1.363735E+01
2.883949E+01        -1.526935E+02        +1.360035E+01
2.881358E+01        -1.522832E+02        +1.356431E+01
2.878770E+01        -1.518733E+02        +1.352736E+01
2.876183E+01        -1.514632E+02        +1.349131E+01
2.873600E+01        -1.510630E+02        +1.345436E+01
2.871018E+01        -1.506533E+02        +1.341832E+01
2.868439E+01        -1.502433E+02        +1.338233E+01
2.865863E+01        -1.498431E+02        +1.334634E+01
2.863288E+01        -1.494431E+02        +1.331034E+01
2.860716E+01        -1.490335E+02        +1.327434E+01
2.858146E+01        -1.486332E+02        +1.323834E+01
2.855579E+01        -1.482333E+02        +1.320332E+01
2.853013E+01        -1.478332E+02        +1.316735E+01
2.850450E+01        -1.474332E+02        +1.313231E+01
2.847890E+01        -1.470430E+02        +1.309636E+01
2.845332E+01        -1.466434E+02        +1.306133E+01
2.842776E+01        -1.462531E+02        +1.302633E+01
2.840222E+01        -1.458535E+02        +1.299133E+01
2.837670E+01        -1.454631E+02        +1.295633E+01
2.835121E+01        -1.450731E+02        +1.292133E+01
2.832574E+01        -1.446831E+02        +1.288634E+01
2.830030E+01        -1.442933E+02        +1.285231E+01
2.827488E+01        -1.439033E+02        +1.281735E+01
2.824948E+01        -1.435134E+02        +1.278236E+01
2.822410E+01        -1.431234E+02        +1.274832E+01
2.819875E+01        -1.427431E+02        +1.271433E+01
2.817341E+01        -1.423534E+02        +1.267936E+01
2.814811E+01        -1.419732E+02        +1.264533E+01
2.812282E+01        -1.415931E+02        +1.261133E+01
2.809756E+01        -1.412132E+02        +1.257734E+01
2.807232E+01        -1.408333E+02        +1.254334E+01
2.804710E+01        -1.404533E+02        +1.251030E+01
2.802190E+01        -1.400732E+02        +1.247634E+01
2.799673E+01        -1.396933E+02        +1.244235E+01
2.797158E+01        -1.393230E+02        +1.240931E+01
2.794645E+01        -1.389434E+02        +1.237535E+01
2.792135E+01        -1.385731E+02        +1.234232E+01
2.789627E+01        -1.381935E+02        +1.230933E+01
2.787121E+01        -1.378232E+02        +1.227633E+01
2.784617E+01        -1.374532E+02        +1.224333E+01
2.782116E+01        -1.370833E+02        +1.221034E+01
2.779616E+01        -1.367132E+02        +1.217733E+01
2.777119E+01        -1.363432E+02        +1.214433E+01
2.774625E+01        -1.359830E+02        +1.211135E+01
2.772132E+01        -1.356133E+02        +1.207930E+01
2.769642E+01        -1.352434E+02        +1.204635E+01
2.767154E+01        -1.348831E+02        +1.201431E+01
2.764668E+01        -1.345231E+02        +1.198135E+01
2.762184E+01        -1.341534E+02        +1.194931E+01
2.759703E+01        -1.337931E+02        +1.191732E+01
2.757224E+01        -1.334332E+02        +1.188532E+01
2.754747E+01        -1.330732E+02        +1.185332E+01
2.752273E+01        -1.327229E+02        +1.182133E+01
2.749800E+01        -1.323633E+02        +1.178933E+01
2.747330E+01        -1.320033E+02        +1.175734E+01
2.744862E+01        -1.316434E+02        +1.172630E+01
2.742396E+01        -1.312929E+02        +1.169434E+01
2.739933E+01        -1.309431E+02        +1.166331E+01
2.737471E+01        -1.305834E+02        +1.163134E+01
2.735012E+01        -1.302330E+02        +1.160031E+01
2.732555E+01        -1.298831E+02        +1.156931E+01
2.730101E+01        -1.295332E+02        +1.153832E+01
2.727648E+01        -1.291832E+02        +1.150732E+01
2.725198E+01        -1.288428E+02        +1.147632E+01
2.722750E+01        -1.284933E+02        +1.144533E+01
2.720304E+01        -1.281433E+02        +1.141433E+01
2.717860E+01        -1.278029E+02        +1.138333E+01
2.715419E+01        -1.274534E+02        +1.135234E+01
2.712979E+01        -1.271129E+02        +1.132229E+01
2.710542E+01        -1.267730E+02        +1.129134E+01
2.708107E+01        -1.264330E+02        +1.126130E+01
2.705675E+01        -1.260931E+02        +1.123131E+01
2.703244E+01        -1.257531E+02        +1.120130E+01
2.700816E+01        -1.254132E+02        +1.117036E+01
2.698390E+01        -1.250733E+02        +1.114032E+01
2.695966E+01        -1.247333E+02        +1.111032E+01
2.693544E+01        -1.244029E+02        +1.108032E+01
2.691124E+01        -1.240633E+02        +1.105128E+01
2.688707E+01        -1.237330E+02        +1.102133E+01
2.686291E+01        -1.234029E+02        +1.099132E+01
2.683878E+01        -1.230634E+02        +1.096133E+01
2.681467E+01        -1.227330E+02        +1.093229E+01
2.679058E+01        -1.224030E+02        +1.090329E+01
2.676652E+01        -1.220731E+02        +1.087334E+01
2.674247E+01        -1.217431E+02        +1.084429E+01
2.671845E+01        -1.214131E+02        +1.081530E+01
2.669445E+01        -1.210928E+02        +1.078535E+01
2.667047E+01        -1.207632E+02        +1.075631E+01
2.664651E+01        -1.204428E+02        +1.072731E+01
2.662257E+01        -1.201132E+02        +1.069926E+01
2.659866E+01        -1.197929E+02        +1.067032E+01
2.657476E+01        -1.194633E+02        +1.064131E+01
2.655089E+01        -1.191429E+02        +1.061232E+01
2.652704E+01        -1.188230E+02        +1.058428E+01
2.650321E+01        -1.185030E+02        +1.055533E+01
2.647940E+01        -1.181830E+02        +1.052728E+01
2.645561E+01        -1.178725E+02        +1.049928E+01
2.643185E+01        -1.175531E+02        +1.047034E+01
2.640810E+01        -1.172331E+02        +1.044229E+01
2.638438E+01        -1.169227E+02        +1.041429E+01
2.636068E+01        -1.166032E+02        +1.038630E+01
2.633700E+01        -1.162928E+02        +1.035830E+01
2.631334E+01        -1.159732E+02        +1.033030E+01
2.628970E+01        -1.156628E+02        +1.030230E+01
2.626609E+01        -1.153529E+02        +1.027527E+01
2.624249E+01        -1.150429E+02        +1.024731E+01
2.621892E+01        -1.147330E+02        +1.021932E+01
2.619536E+01        -1.144229E+02        +1.019226E+01
2.617183E+01        -1.141129E+02        +1.016432E+01
2.614832E+01        -1.138125E+02        +1.013727E+01
2.612483E+01        -1.135030E+02        +1.011027E+01
2.610136E+01        -1.131930E+02        +1.008328E+01
2.607792E+01        -1.128927E+02        +1.005533E+01
2.605449E+01        -1.125831E+02        +1.002828E+01
2.603109E+01        -1.122828E+02        +1.000129E+01
2.600770E+01        -1.119827E+02        +9.974575E+00
2.598434E+01        -1.116828E+02        +9.947786E+00
2.596100E+01        -1.113828E+02        +9.920991E+00
2.593768E+01        -1.110829E+02        +9.894290E+00
2.591438E+01        -1.107829E+02        +9.867593E+00
2.589110E+01        -1.104829E+02        +9.841085E+00
2.586784E+01        -1.101830E+02        +9.814586E+00
2.584460E+01        -1.098830E+02        +9.788086E+00
2.582138E+01        -1.095925E+02        +9.761775E+00
2.579819E+01        -1.092931E+02        +9.735484E+00
2.577501E+01        -1.090025E+02        +9.709276E+00
2.575186E+01        -1.087031E+02        +9.683179E+00
2.572873E+01        -1.084127E+02        +9.657085E+00
2.570561E+01        -1.081226E+02        +9.631074E+00
2.568252E+01        -1.078327E+02        +9.605079E+00
2.565945E+01        -1.075427E+02        +9.579273E+00
2.563640E+01        -1.072527E+02        +9.553476E+00
2.561337E+01        -1.069628E+02        +9.527773E+00
2.559036E+01        -1.066728E+02        +9.502074E+00
2.556737E+01        -1.063923E+02        +9.476470E+00
2.554441E+01        -1.061029E+02        +9.450976E+00
2.552146E+01        -1.058129E+02        +9.425570E+00
2.549853E+01        -1.055324E+02        +9.400168E+00
2.547563E+01        -1.052430E+02        +9.374872E+00
2.545274E+01        -1.049625E+02        +9.349569E+00
2.542988E+01        -1.046826E+02        +9.324467E+00
2.540703E+01        -1.044025E+02        +9.299363E+00
2.538421E+01        -1.041131E+02        +9.274269E+00
2.536141E+01        -1.038327E+02        +9.249270E+00
2.533862E+01        -1.035526E+02        +9.224454E+00
2.531586E+01        -1.032821E+02        +9.199564E+00
2.529312E+01        -1.030027E+02        +9.174763E+00
2.527040E+01        -1.027227E+02        +9.150062E+00
2.524770E+01        -1.024428E+02        +9.125460E+00
2.522502E+01        -1.021723E+02        +9.100863E+00
2.520236E+01        -1.018928E+02        +9.076361E+00
2.517972E+01        -1.016224E+02        +9.051957E+00
2.515710E+01        -1.013429E+02        +9.027559E+00
2.513450E+01        -1.010724E+02        +9.003255E+00
2.511192E+01        -1.008024E+02        +8.979051E+00
2.508936E+01        -1.005324E+02        +8.954852E+00
2.506682E+01        -1.002624E+02        +8.930747E+00
2.504431E+01        -9.998970E+01        +8.906658E+00
2.502181E+01        -9.971954E+01        +8.882653E+00
2.499933E+01        -9.945144E+01        +8.858747E+00
2.497687E+01        -9.918343E+01        +8.834942E+00
2.495444E+01        -9.891649E+01        +8.811152E+00
2.493202E+01        -9.865043E+01        +8.787446E+00
2.490962E+01        -9.838442E+01        +8.763745E+00
2.488725E+01        -9.811948E+01        +8.740149E+00
2.486489E+01        -9.785541E+01        +8.716642E+00
