# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           dP_int/dT (e^4) [MeV^3]
3.402549E+01        -2.190914E+00
3.399492E+01        -2.184711E+00
3.396438E+01        -2.178413E+00
3.393387E+01        -2.172212E+00
3.390339E+01        -2.166014E+00
3.387293E+01        -2.159814E+00
3.384251E+01        -2.153714E+00
3.381210E+01        -2.147515E+00
3.378173E+01        -2.141414E+00
3.375138E+01        -2.135314E+00
3.372106E+01        -2.129215E+00
3.369077E+01        -2.123116E+00
3.366051E+01        -2.117115E+00
3.363027E+01        -2.111018E+00
3.360006E+01        -2.105016E+00
3.356988E+01        -2.099018E+00
3.353972E+01        -2.093018E+00
3.350959E+01        -2.087116E+00
3.347949E+01        -2.081119E+00
3.344941E+01        -2.075217E+00
3.341936E+01        -2.069317E+00
3.338934E+01        -2.063418E+00
3.335935E+01        -2.057519E+00
3.332938E+01        -2.051619E+00
3.329944E+01        -2.045818E+00
3.326953E+01        -2.039921E+00
3.323964E+01        -2.034119E+00
3.320978E+01        -2.028319E+00
3.317995E+01        -2.022521E+00
3.315014E+01        -2.016720E+00
3.312036E+01        -2.011019E+00
3.309061E+01        -2.005222E+00
3.306089E+01        -1.999522E+00
3.303119E+01        -1.993822E+00
3.300151E+01        -1.988121E+00
3.297187E+01        -1.982521E+00
3.294225E+01        -1.976823E+00
3.291266E+01        -1.971222E+00
3.288309E+01        -1.965524E+00
3.285355E+01        -1.959922E+00
3.282404E+01        -1.954421E+00
3.279455E+01        -1.948823E+00
3.276509E+01        -1.943224E+00
3.273566E+01        -1.937723E+00
3.270625E+01        -1.932125E+00
3.267687E+01        -1.926623E+00
3.264752E+01        -1.921125E+00
3.261819E+01        -1.915723E+00
3.258889E+01        -1.910226E+00
3.255961E+01        -1.904725E+00
3.253036E+01        -1.899323E+00
