# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           d^2P_int/dT^2 (e^4) [MeV^2]
3.405608E+01        -2.050071E-01
3.402549E+01        -2.046072E-01
3.399492E+01        -2.042072E-01
3.396438E+01        -2.038170E-01
3.393387E+01        -2.034173E-01
3.390339E+01        -2.030173E-01
3.387293E+01        -2.026271E-01
3.384251E+01        -2.022275E-01
3.381210E+01        -2.018372E-01
3.378173E+01        -2.014473E-01
3.375138E+01        -2.010573E-01
3.372106E+01        -2.006575E-01
3.369077E+01        -2.002674E-01
3.366051E+01        -1.998775E-01
3.363027E+01        -1.994875E-01
3.360006E+01        -1.991074E-01
3.356988E+01        -1.987176E-01
3.353972E+01        -1.983276E-01
3.350959E+01        -1.979377E-01
3.347949E+01        -1.975575E-01
3.344941E+01        -1.971775E-01
3.341936E+01        -1.967877E-01
3.338934E+01        -1.964076E-01
3.335935E+01        -1.960277E-01
3.332938E+01        -1.956477E-01
3.329944E+01        -1.952579E-01
3.326953E+01        -1.948778E-01
3.323964E+01        -1.944978E-01
3.320978E+01        -1.941276E-01
3.317995E+01        -1.937479E-01
3.315014E+01        -1.933679E-01
3.312036E+01        -1.929879E-01
3.309061E+01        -1.926178E-01
3.306089E+01        -1.922381E-01
3.303119E+01        -1.918679E-01
3.300151E+01        -1.914881E-01
3.297187E+01        -1.911180E-01
3.294225E+01        -1.907480E-01
3.291266E+01        -1.903781E-01
3.288309E+01        -1.900081E-01
3.285355E+01        -1.896381E-01
3.282404E+01        -1.892682E-01
3.279455E+01        -1.888981E-01
3.276509E+01        -1.885282E-01
3.273566E+01        -1.881680E-01
3.270625E+01        -1.877983E-01
3.267687E+01        -1.874283E-01
3.264752E+01        -1.870682E-01
3.261819E+01        -1.866984E-01
3.258889E+01        -1.863382E-01
3.255961E+01        -1.859782E-01
3.253036E+01        -1.856182E-01
3.250114E+01        -1.852485E-01
3.247195E+01        -1.848884E-01
3.244278E+01        -1.845284E-01
3.241363E+01        -1.841684E-01
3.238451E+01        -1.838084E-01
3.235542E+01        -1.834582E-01
3.232636E+01        -1.830986E-01
3.229732E+01        -1.827386E-01
3.226830E+01        -1.823883E-01
3.223932E+01        -1.820287E-01
3.221036E+01        -1.816785E-01
3.218142E+01        -1.813187E-01
3.215251E+01        -1.809685E-01
3.212363E+01        -1.806185E-01
3.209477E+01        -1.802685E-01
3.206594E+01        -1.799186E-01
3.203713E+01        -1.795588E-01
3.200836E+01        -1.792185E-01
3.197960E+01        -1.788687E-01
3.195087E+01        -1.785187E-01
3.192217E+01        -1.781688E-01
3.189350E+01        -1.778189E-01
3.186485E+01        -1.774786E-01
3.183622E+01        -1.771289E-01
3.180762E+01        -1.767886E-01
3.177905E+01        -1.764390E-01
3.175050E+01        -1.760987E-01
3.172198E+01        -1.757588E-01
3.169348E+01        -1.754090E-01
3.166501E+01        -1.750688E-01
